pallets,algorithm,timelimit_ms,avg_time_per_test_ms,pallet_length,pallet_width,score_normalization_height,available_rotations,score_percolation_mult,score_min_support_ratio_mult,score_center_of_mass_z_mult,score_height_balance_mult,pallets_computed_min,pallets_computed_ci_low,pallets_computed_avg,pallets_computed_ci_high,pallets_computed_max,percolation_min,percolation_ci_low,percolation_avg,percolation_ci_high,percolation_max,min_support_ratio_min,min_support_ratio_ci_low,min_support_ratio_avg,min_support_ratio_ci_high,min_support_ratio_max,height_min,height_ci_low,height_avg,height_ci_high,height_max,com_z_rel_min,com_z_rel_ci_low,com_z_rel_avg,com_z_rel_ci_high,com_z_rel_max,height_balance_min,height_balance_ci_low,height_balance_avg,height_balance_ci_high,height_balance_max
multi,LNSSolver,10000,10016.1,1200,800,2200,2,1.0,2.0,0.0,2.0,170.0000,466.0000,1157.2638,2235.0000,5696.0000,0.1751,0.4373,0.5443,0.6076,0.6312,0.2356,0.2701,0.4047,0.5787,0.7671,1435.0,1988.0,3255.6,4938.0,16781.0,0.3217,0.3964,0.4541,0.5028,0.5208,0.8312,0.9118,0.9774,1.0000,1.0000
multi,LNSSolver,10000,10017.4,1200,800,2200,2,1.0,2.0,0.0,5.0,162.0000,475.0000,1152.7729,2367.0000,5407.0000,0.1664,0.4531,0.5490,0.6037,0.6254,0.0479,0.2503,0.3595,0.5267,0.7890,1499.0,1939.0,3189.7,4793.0,17786.0,0.2986,0.3982,0.4593,0.5112,0.5550,0.8290,0.9185,0.9806,1.0000,1.0000
multi,LNSSolver,10000,10016.9,1200,800,2200,2,1.0,2.0,0.0,10.0,162.0000,458.0000,1156.2729,2269.0000,6027.0000,0.1664,0.4400,0.5430,0.6026,0.6373,0.0013,0.1020,0.3219,0.5252,0.7073,1314.0,1947.0,3276.3,4938.0,17786.0,0.2477,0.3939,0.4561,0.5053,0.5399,0.8787,0.9243,0.9831,1.0000,1.0000




one,LNSSolver,10000,10007.5,1200,800,2200,2,1.0,0.0,0.0,0.0,65.0000,327.0000,2172.2523,7158.0000,41014.0000,0.6129,0.6524,0.7142,0.7864,0.8942,0.0003,0.0028,0.2816,0.4988,0.8368,346.0,863.0,2398.3,4655.0,9604.0,0.3905,0.4433,0.4998,0.5616,0.5915,1.0000,1.0000,1.0000,1.0000,1.0000
multi,LNSSolver,10000,10015.9,1200,800,2200,2,1.0,0.0,0.0,0.0,186.0000,525.0000,1265.0367,2456.0000,6126.0000,0.6184,0.6412,0.6787,0.7181,0.7626,0.0000,0.0003,0.1840,0.3093,0.4360,1145.0,1726.0,2931.7,4482.0,6604.0,0.3280,0.3702,0.4243,0.4785,0.5415,0.6512,0.7635,0.8572,0.9466,0.9958

one,LNSSolver,10000,10007.7,1200,800,2200,2,1.0,0.1,0.0,0.0,64.0000,325.0000,2089.0092,6632.0000,37904.0000,0.6033,0.6477,0.7071,0.7811,0.8868,0.0016,0.0396,0.3758,0.6522,1.0000,346.0,881.0,2422.3,4754.0,9641.0,0.3843,0.4404,0.4999,0.5563,0.5824,1.0000,1.0000,1.0000,1.0000,1.0000
multi,LNSSolver,10000,10016.5,1200,800,2200,2,1.0,0.1,0.0,0.0,182.0000,491.0000,1195.5344,2338.0000,5479.0000,0.6154,0.6394,0.6724,0.7107,0.7586,0.0000,0.0023,0.2619,0.3658,0.4734,1125.0,1772.0,2974.5,4556.0,6604.0,0.3305,0.3698,0.4224,0.4725,0.5415,0.6110,0.7602,0.8544,0.9508,0.9933

one,LNSSolver,10000,10008.2,1200,800,2200,2,1.0,0.5,0.0,0.0,63.0000,310.0000,2083.6972,7282.0000,39889.0000,0.4969,0.6193,0.6882,0.7650,0.8297,0.2455,0.3255,0.5271,0.8654,1.0000,346.0,870.0,2490.3,4809.0,9641.0,0.3784,0.4343,0.4937,0.5545,0.5852,1.0000,1.0000,1.0000,1.0000,1.0000
multi,LNSSolver,10000,10015.4,1200,800,2200,2,1.0,0.5,0.0,0.0,176.0000,497.0000,1174.9564,2261.0000,4668.0000,0.5810,0.6212,0.6578,0.7008,0.7465,0.2045,0.2713,0.3688,0.4956,0.7549,1164.0,1780.0,3045.0,4650.0,6682.0,0.3156,0.3632,0.4210,0.4766,0.5317,0.6382,0.7617,0.8524,0.9524,0.9963

one,LNSSolver,10000,10008.8,1200,800,2200,2,1.0,1.0,0.0,0.0,60.0000,325.0000,2111.4128,7150.0000,40834.0000,0.4498,0.5791,0.6740,0.7597,0.8381,0.2658,0.4166,0.6045,0.9491,1.0000,346.0,876.0,2557.9,4895.0,9613.0,0.3893,0.4303,0.4893,0.5480,0.5901,1.0000,1.0000,1.0000,1.0000,1.0000
